NewDepot -1 5.0,5.0 3
NewVehicle -1 8.030252392508238,9.130351682737706 1 100 1
NewVehicle -1 2.556231776248988,1.1979888064061683 1 100 1
NewVehicle -1 3.8335753944572835,5.936822301861272 1 100 1
NewParcel 2190591 3.4237498882618125,8.57801084456774 3.880895429821444,0.06937539571387319 1000 1 2196112/2205069=2212958/2221915
NewParcel 2233560 3.6150847384076448,5.684743762407645 1.222517035246815,8.44920746037506 1000 1 2238016/2249103=2254453/2265540
NewParcel 2275285 9.311995821672749,8.977085877658473 7.643377114422101,9.378010684257873 1000 1 2279124/2291445=2294977/2307298
NewParcel 2323038 9.186996764457778,4.078278811033389 0.8543297303477293,5.889209912716744 1000 1 2326704/2339371=2342257/2354924
NewParcel 2369252 7.132222055284672,0.3380037710432049 0.46532895601466673,0.5570714236537766 1000 1 2371661/2386842=2389936/2405117
NewParcel 2413720 3.3312133461754643,7.144417743760232 9.562740650576785,9.029351533788962 1000 1 2419187/2428252=2442735/2451800
NewParcel 2461014 5.179950363580805,8.469222778448774 7.3175358013895835,0.8652421954287837 1000 1 2465585/2476442=2486397/2497254
NewParcel 2504963 1.221185723362307,7.872329270097806 6.413432149060334,5.530177511567142 1000 1 2509648/2520277=2525229/2535858
NewParcel 2550227 3.7561489420502205,8.692677008364909 1.5840425052572704,3.899062750219607 1000 1 2552646/2567807=2568192/2583353
NewParcel 2604211 8.297681695595362,6.651774521438018 8.048096703940303,8.119488817249495 1000 1 2611687/2616734=2627732/2632779
NewParcel 2660769 0.528864923971013,4.596523092027251 1.1317949252086656,5.186494737162215 1000 1 2666930/2674607=2683730/2691407
NewParcel 2710345 3.931202142523722,1.607883068266921 0.8673594069337653,2.0804396855160756 1000 1 2713820/2726869=2738171/2751220
NewParcel 2769402 3.7464208250274034,1.2019490702574287 7.856843698982918,2.8195503261756825 1000 1 2777216/2781587=2794307/2798678
NewParcel 2825197 5.435955399775823,5.849994173718748 9.190263122441015,0.2786989620857916 1000 1 2834993/2835400=2857305/2857712
NewParcel 2880167 8.302172010034315,7.5440463187239395 5.707110133489977,8.125985181831732 1000 1 2884413/2895920=2901606/2913113
NewParcel 2933371 7.435399548761294,6.634559632687564 4.39031475258011,0.7286727108681579 1000 1 2935224/2951517=2953348/2969641
NewParcel 2974676 9.650828683542338,3.666743245025237 2.1817150251519593,1.3800525850603051 1000 1 2979213/2990138=2994508/3005433
NewParcel 3030535 1.5793421150487097,1.4421090160604544 0.008096705967294282,1.69879009236657 1000 1 3036562/3044507=3058518/3066463
NewParcel 3088443 0.5763378594688884,7.031802322216879 8.306869741011019,7.552319969289881 1000 1 3095138/3101747=3115402/3122011
NewParcel 3140337 1.6126066375566028,5.968277096554791 7.840438280331041,9.355851693769203 1000 1 3149498/3151175=3167633/3169310
NewParcel 3183421 5.811330152632962,3.3418784471260157 2.0883303801676045,7.098548243551562 1000 1 3192109/3194732=3216117/3218740
NewParcel 3240098 8.795257987424874,9.0288945737467 0.006150013697759915,2.9484396401753097 1000 1 3249998/3250197=3268936/3269135
NewParcel 3286893 9.508127890420607,6.777641380168019 0.4404121098226599,6.787634275075954 1000 1 3295725/3298060=3313666/3316001
NewParcel 3335447 2.6743929185717406,9.379141278726825 1.9883225687711026,2.5293910515788287 1000 1 3342306/3348587=3367288/3373569
NewParcel 3386886 0.5613155131565828,4.648959360938826 4.591569859905666,5.568614668737691 1000 1 3387383/3406388=3405934/3424939
NewParcel 3444045 2.207492199151714,9.446760442773126 1.6531853076274794,4.217334473080272 1000 1 3452676/3455413=3469890/3472627
NewParcel 3494250 0.7818730827460751,1.4601459112397597 3.9665385962601785,0.4767333020392228 1000 1 3500413/3508086=3517480/3525153
NewParcel 3548560 2.237334547432026,0.979337829836755 9.245529101581946,7.997286074577241 1000 1 3549191/3567928=3564700/3583437
NewParcel 3601564 0.9228722290342195,7.389268409924511 3.5450363761365358,7.578570156942233 1000 1 3607365/3615762=3625595/3633992
NewParcel 3659048 0.31847363868621414,7.605640442928848 3.3606913645676926,3.060312548973534 1000 1 3662819/3675276=3681681/3694138
NewParcel 3709031 9.556734310365998,6.181520004190211 9.697031452590398,2.9562334602034737 1000 1 3713630/3724431=3736793/3747594
NewParcel 3764894 8.895278853657112,9.311021584436517 7.893102788488523,5.682252140739128 1000 1 3774875/3774912=3797064/3797101
NewParcel 3807506 9.804051458898794,7.456654186760327 9.494570075025903,8.730613716604704 1000 1 3812521/3822490=3833865/3843834
NewParcel 3856473 7.831535819781532,3.826884000223638 4.961398388247486,4.641502074965539 1000 1 3866026/3866919=3890749/3891642
NewParcel 3908827 8.913969393080471,8.430480623349094 8.500168189633044,9.123701348710249 1000 1 3917005/3920648=3933686/3937329
NewParcel 3956683 2.291611737065634,9.93420863260278 8.810088460609146,9.17586605392302 1000 1 3962016/3971349=3977030/3986363
NewParcel 4013591 5.696133412903337,0.05042454008743813 2.031765028062541,1.5599656334722234 1000 1 4023202/4023979=4045893/4046670
NewParcel 4062511 0.9731825828845575,7.681145331393838 5.687794299772872,4.478463981787994 1000 1 4071253/4073768=4088786/4091301
NewParcel 4106547 0.8041972054049273,2.545148255300098 4.904238211809173,7.80679650030531 1000 1 4110844/4122249=4132615/4144020
NewParcel 4156783 9.691522121200505,0.5146651505402833 4.702045912942305,9.732706972278734 1000 1 4159415/4174150=4175289/4190024
NewParcel 4209747 4.870893193816926,5.388235377174579 4.647484023088042,0.15400896711371792 1000 1 4215834/4223659=4239418/4247243
NewParcel 4250261 5.3153542808212,4.326275943916631 4.65064032028072,3.6863308591709987 1000 1 4256246/4264275=4273804/4281833
NewParcel 4303619 9.494665398937686,6.675937145781296 3.2010572542683438,7.632410139764465 1000 1 4310048/4317189=4327584/4334725
NewParcel 4354235 5.054267636100028,8.411799695705142 1.8295657291644774,2.7644963308264137 1000 1 4359675/4368794=4375119/4384238
NewParcel 4406124 6.0778659303154665,6.9189818880203955 2.085375031707193,7.271428849512844 1000 1 4413572/4418675=4437930/4443033
NewParcel 4463771 6.097692362606867,3.3452138950217716 3.81748539875269,6.721948163647248 1000 1 4472434/4475107=4493164/4495837
NewParcel 4520137 7.516513095585587,2.248446467908143 6.049483496396401,5.395806959804545 1000 1 4524489/4535784=4546282/4557577
NewParcel 4571777 0.6054403383218987,0.7665528569720514 4.23678529269243,6.834239291404609 1000 1 4576319/4587234=4598889/4609804
NewParcel 4619226 7.741612543571841,2.035689657697095 0.1953859258119084,3.9613543541112275 1000 1 4621402/4637049=4640781/4656428
NewParcel 4674028 1.0498062296839927,0.08387487609553546 3.4911835083026945,1.6280154636091382 1000 1 4679264/4688791=4698543/4708070
NewParcel 4721972 4.112039727518625,5.926350186544865 5.578933861587788,6.929765444131163 1000 1 4723842/4740101=4741178/4757437
NewParcel 4765320 0.9092330642665603,7.089287985135673 0.47990364290554255,5.150364292720298 1000 1 4770359/4780280=4786510/4796431
NewParcel 4824993 7.658986296156987,5.288404474842478 8.287280870485795,1.6824984649536368 1000 1 4825700/4844285=4850254/4868839
NewParcel 4866905 5.713538192261549,9.489042589279537 0.28840829750825137,2.7772257844678263 1000 1 4868003/4885806=4892874/4910677
NewParcel 4924826 6.181968102924613,4.074288748068103 6.992898715143032,0.47371807872776617 1000 1 4926870/4942781=4947558/4963469
NewParcel 4965360 9.440703734590901,4.347682258688142 2.8556977097255354,9.560864872825993 1000 1 4966312/4984407=4985841/5003936
NewParcel 5018829 5.196396695984898,4.097083220486162 3.9841554130571155,6.922298828144131 1000 1 5028233/5029424=5045576/5046767
