NewVehicle -1 3.4586490355692523,9.434988581289044 1 100
NewVehicle -1 6.2404119260174,7.177026024034513 1 100
NewVehicle -1 0.9054662394832702,1.0239061738824562 1 100
NewVehicle -1 4.122971857625268,1.4942078955943572 1 100
NewVehicle -1 8.505616170930722,4.198836458551607 1 100
NewParcel 1455024 9.292324522580824,6.926708661042857 3.3597211394086033,4.605117446318195 1000 1
NewParcel 1513752 1.9761731864335774,1.692511370398253 6.413734774923895,8.994749321318942 1000 1
NewParcel 1567462 2.2685165095813087,1.4050609889765098 6.362000426040465,3.1851212866630565 1000 1
NewParcel 1618874 1.1146194708498036,0.4335613753758183 7.798101821064173,1.5229002567868788 1000 1
NewParcel 1675688 4.82433994097513,2.4082687134181224 7.940536848569584,3.2295994674385398 1000 1
NewParcel 1716526 9.873234889269972,3.536847158795189 3.361274667037714,8.34535224825144 1000 1
NewParcel 1757492 9.47149182370824,7.195259388380353 2.3860077173910685,5.235675335551618 1000 1
NewParcel 1809884 3.011748494905091,5.257372718755361 6.888611838884646,6.531220765598053 1000 1
NewParcel 1853788 6.295291616992907,3.7445854603293816 7.777808501074398,9.957481385483005 1000 1
NewParcel 1911895 5.569464577394601,9.150850313237255 7.3040884716481544,6.071301105781364 1000 1
NewParcel 1963563 7.217862732220474,3.051710174846879 4.640915032710895,9.550387467965711 1000 1
NewParcel 2006103 5.712525888069758,1.7914190440014421 1.375646583938852,2.587932825321735 1000 1
NewParcel 2047616 8.90090500030324,4.370338517674978 6.4143921416131375,0.1903100273450664 1000 1
NewParcel 2100336 5.821588132789143,3.1233291254595494 9.36822067960831,6.533430960559991 1000 1
NewParcel 2146098 5.5387341081672945,1.4586381148881111 8.893369658060168,7.4182284028181735 1000 1
NewParcel 2191417 0.5201739189736254,4.661522212273013 6.448289309937685,6.144152159722869 1000 1
NewParcel 2231479 9.53669476809886,1.7782634063604164 4.826727435887198,4.889702364479987 1000 1
NewParcel 2275824 0.09163352876635944,4.264021125775623 1.3910970892012164,2.9492859450020226 1000 1
NewParcel 2321026 2.8546302010568434,1.5105731376814813 2.2746474068382527,1.607713918299899 1000 1
NewParcel 2367874 4.919868356601408,0.17489880961147453 9.830510912832827,9.338448921849205 1000 1
NewParcel 2417099 9.238983133774658,7.210100481023768 7.178984134353652,9.750588609795326 1000 1
NewParcel 2459358 9.038053769890816,3.818267139003729 2.4003398767906567,2.8142765278440596 1000 1
NewParcel 2516814 4.320677475852639,3.201196482370926 2.4317137511775675,8.322325451337294 1000 1
NewParcel 2573859 4.684022270315733,6.28028867146396 9.904619146009795,8.3708144029941 1000 1
NewParcel 2633772 7.800840590844861,1.512104158106904 5.130454423337546,8.778911663734444 1000 1
NewParcel 2687017 1.8255215690005144,5.448127374354867 2.6638540129810897,0.7522725235763916 1000 1
NewParcel 2744943 7.895567957917051,5.585029822165531 7.804318035857124,0.030878749175292652 1000 1
NewParcel 2799180 7.099255401336251,1.8136038840084623 9.73682170551195,0.9975001909421699 1000 1
NewParcel 2839705 0.6084177845819783,8.335838133887513 7.32857966250001,7.580490634842926 1000 1
NewParcel 2889684 1.4517031370704725,0.45802835965770616 4.416707747730473,5.032511624071365 1000 1
NewParcel 2943497 5.020593625930957,0.7788256178394781 0.7044500754936622,6.593799672890297 1000 1
NewParcel 2990461 9.205731231936525,3.7073760420488178 4.63093366514155,6.5369296827637875 1000 1
NewParcel 3047662 4.940407142775989,6.577870415198271 0.5735090617327554,1.2868843200827962 1000 1
NewParcel 3102299 8.314702630993086,4.409048367921798 3.3019853029898028,6.811966217667256 1000 1
NewParcel 3156992 8.273559095059756,6.0136567081780266 5.509255017265751,3.756660079786347 1000 1
NewParcel 3200264 0.4961903251141253,9.289554492678235 2.7991583973405065,2.8803963690572756 1000 1
NewParcel 3249861 9.233135948796992,6.227377721919753 3.0561096125287457,8.225742909177859 1000 1
NewParcel 3290474 4.832761770025767,7.994454899766085 6.056915752424942,3.0470779355961843 1000 1
NewParcel 3331272 7.903395084670407,2.7553434260524945 3.975768900327278,1.2952104106437423 1000 1
NewParcel 3373762 1.641146986518347,8.306967713536912 2.2642662001878513,0.16727473083638644 1000 1
NewParcel 3422270 4.136058390553762,5.628552342398323 8.04985751491986,3.1872673267939113 1000 1
NewParcel 3463772 8.07819150594197,5.840134604300507 8.032234810010575,4.96603123930642 1000 1
NewParcel 3512768 2.75481105489448,5.27999927329367 8.4456020712323,7.871542871518621 1000 1
NewParcel 3570097 9.488356199716042,5.881032027506711 2.195372803606641,0.012992530362857524 1000 1
NewParcel 3619807 8.567182171927678,3.565103099834351 8.478060057626797,3.4450422032364303 1000 1
NewParcel 3660699 3.100397858306766,1.7470642555673355 8.751868507080419,4.002510677189001 1000 1
NewParcel 3709158 8.758342967359852,1.0231160309497234 1.5299632043319689,5.998908172539182 1000 1
NewParcel 3764260 3.828801340613057,3.2380500180272853 3.5299226212128323,2.4690206130163697 1000 1
NewParcel 3823713 7.4252253960368355,6.537024128947822 8.881370601135528,6.558649308936731 1000 1
NewParcel 3882750 6.8882629664079875,7.808988767785461 4.901674528500829,6.164141989200095 1000 1
NewParcel 3935962 9.889661691723767,1.5147476139775984 7.750183425239786,8.413095032327426 1000 1
NewParcel 3991894 3.228089211156151,7.753712699019645 1.9473658347952827,0.2476587651691109 1000 1
NewParcel 4033221 0.12507352695571017,0.12520583459829981 1.4765763256487008,1.4171019101794058 1000 1
NewParcel 4086337 1.7600243668166637,7.816990981791649 7.880111480916633,3.9435939149046217 1000 1
NewParcel 4143386 2.2930319400091967,5.769994961390591 8.55616436781476,6.611179381409223 1000 1
NewParcel 4186415 5.591284135618265,7.611183402004827 6.03541156432596,1.160408808050103 1000 1
NewParcel 4227949 0.695362568808231,3.427341474378963 7.22615188372533,2.9762905961454655 1000 1
NewParcel 4274521 7.369192517822678,2.4036472093896943 7.3503534644374895,2.077572449209123 1000 1
NewParcel 4332245 2.117318578666505,7.623135525881606 7.15494008300849,3.343832877193238 1000 1
NewParcel 4377699 4.060851886622812,9.19440357988291 4.827627778594335,5.1972407216629035 1000 1
NewParcel 4427827 0.811787441137144,7.198984084933957 1.1290920246957914,6.700265503898676 1000 1
NewParcel 4487714 2.4779327310726087,4.482985378601709 3.1025031718325025,9.718713517707588 1000 1
NewParcel 4529605 1.528960569389397,4.675378255787258 3.653808177175838,3.4352816534250574 1000 1
NewParcel 4576841 0.3415218209616988,7.223032020827141 1.7915513297483188,2.2150767191566203 1000 1
NewParcel 4626226 6.836995862947289,9.546493213845546 3.2970452002631614,0.8353210291807078 1000 1
NewParcel 4676443 1.174733649240861,8.7084727060099 4.966197886569024,6.907640380543483 1000 1
NewParcel 4726362 5.344840288488103,9.270369522823458 4.157251431141181,1.4553814649732633 1000 1
NewParcel 4784657 5.602522238020028,8.582692329526003 6.8093610986250965,9.807328568610913 1000 1
NewParcel 4831846 0.6976965112761491,7.794000434062966 3.7957937480733737,3.3274939275598436 1000 1
NewParcel 4872238 3.3010668316691874,7.899778888177506 4.508046808682883,7.61721908359696 1000 1
NewParcel 4922761 2.7690015457112818,1.2182120421239784 9.654138333512556,0.4811844570470314 1000 1
