NewDepot -1 5.0,5.0 5
NewVehicle -1 9.586596245046971,0.16999866687968712 1 10
NewVehicle -1 7.067572672888104,7.932875242702534 1 10
NewVehicle -1 0.3735645043189595,3.092657495731456 1 10
NewVehicle -1 0.40713068795099505,7.678838159167332 1 10
NewVehicle -1 5.81966338253811,9.77410586973465 1 10
NewParcel 23184613 2.3299435429326687,2.977913384885127 4.075452932576961,5.2648925234183235 0 1 23187840/23201385=23437050/23450595
NewParcel 23858175 0.01139048480012117,5.5939486393986275 5.010704769266087,2.365489154344483 0 1 23866858/23869491=24108462/24111095
NewParcel 24593685 8.135685876848354,8.997042776700814 3.2439864811559618,6.766720757400826 0 1 24601127/24606242=24866234/24871349
NewParcel 25427776 9.325415590690824,5.9881964015457525 9.822067776565289,5.703692615645477 0 1 25433924/25441627=25716599/25724302
NewParcel 26183252 3.5102870726078717,1.2826025837325172 3.0556409298585474,8.20020212133167 0 1 26190353/26196150=26425651/26431448
NewParcel 26920741 4.523969644727438,2.093078778710109 3.3585009827544288,1.4885028317102666 0 1 26923717/26937764=27152417/27166464
NewParcel 27591020 8.981821233575998,7.268791659487869 7.95550302900006,7.712881582272334 0 1 27595384/27606655=27879047/27890318
NewParcel 28322190 1.228559302447998,2.840846685300776 9.873355374000935,4.393611886773759 0 1 28323239/28341140=28623619/28641520
NewParcel 29070444 0.6449424439685469,4.326296835373272 8.128312166620956,4.627844506451027 0 1 29075854/29085033=29288064/29297243
NewParcel 29907662 0.10252167589634986,8.642139427504528 8.524827498492185,5.504000429426897 0 1 29911519/29923804=30140756/30153041
NewParcel 30613633 6.855526480931293,0.980859249614946 6.979234791566102,5.70622691919766 0 1 30623313/30623952=30920336/30920975
NewParcel 31285216 9.658946794242079,4.499082677145849 9.782512947705342,5.785479414509156 0 1 31293447/31296984=31514389/31517926
NewParcel 31969287 8.401873818809921,3.1709042082017955 7.716201218402551,7.073791951169971 0 1 31972113/31986460=32203595/32217942
NewParcel 32670851 5.045162436925642,0.6574489717404086 3.435525982058858,7.7182980685451135 0 1 32678115/32683586=32969034/32974505
NewParcel 33482233 7.15247638430262,0.5442327152049542 4.03380354757703,6.81156613787733 0 1 33490607/33493858=33757347/33760598
NewParcel 34223790 7.803781562846161,5.797881560305839 3.202177775859185,0.09481040462706813 0 1 34233253/34234326=34455463/34456536
NewParcel 34881111 8.180345752815313,7.793776088084334 9.8987583515977,3.210539223286678 0 1 34884210/34898011=35183685/35197486
NewParcel 35668216 1.6103121120744224,7.766179285249852 2.9412205086059573,0.9812072157836749 0 1 35677310/35679121=35972908/35974719
NewParcel 36340786 0.3639042016298599,6.032412987429901 3.436929433374354,3.6904269459699868 0 1 36341893/36359678=36598792/36616577
NewParcel 37027994 8.987329254596917,6.842645108038877 9.464651565708511,3.8433098960500836 0 1 37030748/37045239=37272760/37287251
NewParcel 37746032 0.46443854537941087,9.206848339597052 9.92191490354804,9.382494647124842 0 1 37747663/37764400=37976700/37993437
NewParcel 38500966 3.9952106076315363,6.550496416002099 6.9520819464331085,1.8364252696757466 0 1 38508108/38513823=38775288/38781003
NewParcel 39283074 5.680116530313493,0.5505557168580144 8.865196118118465,0.37644550026427637 0 1 39288611/39297536=39586884/39595809
NewParcel 40099370 5.8994333039278715,7.00333882390443 7.966666122366028,5.259265079254351 0 1 40102420/40116319=40400983/40414882
NewParcel 40885525 9.67656452075414,4.075781163412502 0.20784884889826216,6.631369413768125 0 1 40891067/40899982=41107226/41116141
NewParcel 41682946 8.814433730615935,5.791701458631614 6.072594911014466,7.171926034956579 0 1 41683499/41702392=41988039/42006932
NewParcel 42461298 7.09400968149271,6.104611074960849 4.613817357346331,9.550756406092 0 1 42466437/42476158=42743926/42753647
NewParcel 43211287 2.3240301621207604,1.4086343975397808 5.054149650911695,2.177934075650171 0 1 43211712/43230861=43447585/43466734
NewParcel 44027046 1.5309828563312955,1.839100332043504 2.8647505522164063,9.221569908779754 0 1 44028285/44045806=44269925/44287446
NewParcel 44842013 8.078407914613837,4.214370570149385 9.736321925057416,3.370349936180863 0 1 44848768/44855257=45088196/45094685
NewParcel 45676702 2.004584899483537,1.9704650829894377 9.356401348607942,2.3173849891683695 0 1 45682221/45691182=45933402/45942363
NewParcel 46501315 7.367665755402667,9.940048174375839 3.40699145661853,2.4419377344477358 0 1 46507091/46515538=46801253/46809700
NewParcel 47310669 2.8873156402709865,4.327337121735431 4.696587961820611,5.66558724595441 0 1 47320151/47321186=47617894/47618929
NewParcel 48153435 4.67192677100813,0.7304963640116513 6.840670447034789,7.959395609697497 0 1 48159344/48167525=48378726/48386907
NewParcel 48852234 2.320464214516308,5.563079935022039 2.4047173595298243,0.4786360284064628 0 1 48860467/48864000=49145624/49149157
NewParcel 49595650 2.1880100431451255,8.72608353690781 3.9238078745241847,6.8016496786364105 0 1 49599664/49611635=49904928/49916899
NewParcel 50277762 4.10406337033653,7.882169622715889 4.712872585916831,2.249388328439117 0 1 50285718/50289805=50525576/50529663
NewParcel 51005320 0.332665889321343,7.183628000337015 8.88165755278421,3.7622095957263024 0 1 51008172/51022467=51223810/51238105
NewParcel 51787234 8.063405736679593,5.805634805299643 2.468460903015334,1.31048595325167 0 1 51789345/51805122=52007899/52023676
NewParcel 52465557 9.222373103432231,4.136370790021325 0.10670808724382419,4.315587431298225 0 1 52470317/52480796=52683359/52693838
NewParcel 53241694 3.892121235040309,7.975563043616028 4.138425356977838,9.057805904025765 0 1 53243030/53260357=53506191/53523518
NewParcel 53896087 6.1296991649276205,3.593011909422911 5.588675846453221,5.5477780048385945 0 1 53902624/53909549=54158663/54165588
NewParcel 54594162 3.4718197321750885,8.998666245779532 8.915019247721093,4.837972098036795 0 1 54596229/54612094=54849231/54865096
NewParcel 55415857 3.91622185192811,9.27580782862957 4.946059682012684,0.25080253609296665 0 1 55416395/55435318=55635192/55654115
NewParcel 56240578 6.66829319686835,6.3289105001795924 8.923141788317078,8.499930147812648 0 1 56249436/56251719=56553711/56555994
NewParcel 56963959 5.442014269947947,5.897732552514968 3.059259110674095,9.181315390470035 0 1 56970939/56976978=57253883/57259922
NewParcel 57617345 5.604283544732519,7.189208471930141 5.529237561832766,3.6105845267874717 0 1 57622769/57631920=57889550/57898701
NewParcel 58405429 8.951693072706997,2.978700693551679 0.3052542449815243,6.48327146005424 0 1 58407893/58422964=58659570/58674641
NewParcel 59172027 2.4088093910132766,0.5321732451784111 4.751757763961865,6.334498493979571 0 1 59181413/59182640=59449340/59450567
NewParcel 59948485 9.437027714363433,6.200852921806067 4.393848292014786,3.2746576819999005 0 1 59958185/59958784=60194328/60194927
NewParcel 60633763 5.443058491428392,9.03993532490654 6.773184051012451,4.977655958129509 0 1 60639493/60648032=60893476/60902015
NewParcel 61299759 0.9761121487774538,1.3029044626672626 8.805472992764997,4.398286235615215 0 1 61303207/61316310=61567294/61580397
NewParcel 62109966 9.002840581127918,6.163022127673711 4.553615216767866,5.195286696908746 0 1 62113946/62125985=62392559/62404598
NewParcel 62784102 5.049100987462784,5.51355537571151 2.8305563315898654,3.3366508337465204 0 1 62791768/62796435=63052529/63057196
NewParcel 63535865 1.497603964537031,3.1982995887698227 6.545915729645433,5.863752621518841 0 1 63539940/63551789=63828611/63840460
NewParcel 64255507 9.830506167418257,1.5239637322890098 8.210452143219687,0.2908448418640386 0 1 64264384/64266629=64516485/64518730
NewParcel 65003455 7.106013993436332,1.4059770033677466 8.512427694774894,0.6164988864773069 0 1 65009421/65017488=65266677/65274744
NewParcel 65825724 5.458056736542673,8.999281766339035 7.379934076005661,8.42354264045946 0 1 65826460/65844987=66066632/66085159
NewParcel 66496416 5.908094103831914,4.165673686063887 9.443244080328222,0.04406455467790171 0 1 66504328/66508503=66718370/66722545
NewParcel 67237120 0.2781209370690829,8.629253135788185 8.311249217544722,3.266042219098609 0 1 67241938/67252301=67542810/67553173
NewParcel 67957559 7.493929486120948,4.171548417382512 6.576046113827202,9.558158852695634 0 1 67966061/67969056=68188926/68191921
NewParcel 68706361 3.067692598675235,3.7178746472930344 0.9597366725931322,0.2893723548904248 0 1 68708967/68723754=68962876/68977663
NewParcel 69415375 3.0489328670121854,0.6664910066915808 4.517500899621108,7.919796981366209 0 1 69422748/69428001=69679330/69684583
NewParcel 70065460 6.232936253334765,4.312118197496257 0.31100774050756397,5.6394604265645825 0 1 70069164/70081755=70324203/70336794
NewParcel 70896233 0.9156742658465056,1.7153776851636438 3.4662242494234485,1.4315006225405091 0 1 70905883/70906582=71125077/71125776
NewParcel 71626770 4.984298944030354,8.869717624661975 1.0296880647426876,5.036362875814479 0 1 71632017/71641522=71892589/71902094
NewParcel 72448803 0.6322703294749643,6.517386379974065 1.5373034359955562,8.7935600872761 0 1 72457892/72459713=72723124/72724945
NewParcel 73198475 7.488181202242443,8.466015627812972 8.709723617050432,5.837559582504328 0 1 73206007/73210942=73420149/73425084
NewParcel 74007255 0.4473394296762334,2.7573777556952606 6.188384265819591,1.624358627006347 0 1 74012194/74022315=74278603/74288724
NewParcel 74677140 0.9951729311605817,8.53987604328197 2.7262473126312514,7.265309397025479 0 1 74677994/74696285=74883735/74902026
NewParcel 75419806 3.3115173822128274,3.996335987916649 9.747320012069343,5.644760025274291 0 1 75427313/75432298=75702856/75707841
NewParcel 76243896 8.944850394821293,3.1786546986486366 5.689010354056727,3.798068692447192 0 1 76252450/76255341=76505477/76508368
NewParcel 76969176 6.34553520313642,2.100873664932892 4.0413827294194915,7.526558352444158 0 1 76976615/76981736=77214354/77219475
NewParcel 77790804 4.047135281747946,6.942237263218409 4.497374057132566,6.725971967886311 0 1 77792088/77809519=78046972/78064403
NewParcel 78511506 8.784861808068696,9.711798656832023 9.12803657816427,2.404989957896313 0 1 78515216/78527795=78814056/78826635
NewParcel 79203971 2.3402187488190416,9.226136271933484 7.9968652134400395,8.870375620682982 0 1 79211443/79216498=79478704/79483759
NewParcel 79960313 3.400906066522278,7.7517434735241295 1.12727561633716,7.055307923223092 0 1 79965638/79974987=80226781/80236130
NewParcel 80729984 3.2250448574295065,6.163652165593386 6.237294020980389,7.467464216830132 0 1 80734990/80744977=80986257/80996244
NewParcel 81442040 6.398784246232022,2.9718567391815567 4.155521216954206,3.733419646977747 0 1 81443774/81460305=81680154/81696685
NewParcel 82252215 0.4763582448223358,5.0670957396818785 6.332433912369934,0.21591844009286043 0 1 82261344/82263085=82504882/82506623
NewParcel 83049760 0.7916475575844484,0.5375580496893007 1.3610846983163993,9.680587039435869 0 1 83056709/83062810=83302676/83308777
NewParcel 83703567 9.230314913003534,6.408074609503462 9.9212645471846,9.488645986416424 0 1 83705105/83722028=84003971/84020894
NewParcel 84521601 8.251573597941423,6.653355542553396 0.06119017548215755,7.292187315712541 0 1 84523987/84539214=84742501/84757728
NewParcel 85242216 3.9486527824790607,8.336841232937822 7.230776850866762,9.708575329117036 0 1 85247920/85256511=85503013/85511604
NewParcel 85970448 4.437020429259383,6.226723422552428 5.980562326775626,9.950539081100962 0 1 85973853/85987042=86208458/86221647
NewParcel 86816918 2.3594286418305286,8.740703161364515 2.7403409197582684,2.8885119823264196 0 1 86820312/86833523=87090588/87103799
NewParcel 87591499 2.7968420224053925,0.5710454781024665 1.5915739344302449,8.521788865755203 0 1 87596065/87606932=87864908/87875775
NewParcel 88348447 0.37431367002001004,9.84149618931012 7.447635376649365,7.335055996091452 0 1 88355854/88361039=88637963/88643148
NewParcel 89074217 1.8508676758732656,0.14761900039998554 3.555957893233318,3.516861163455104 0 1 89082815/89085618=89361973/89364776
NewParcel 89753712 2.982454758487152,0.332120775346918 2.7361409335582767,4.51658388687851 0 1 89759236/89768187=89998857/90007808
NewParcel 90445260 0.947041758115239,7.346721713045969 4.26808167551484,7.916470111808158 0 1 90449338/90461181=90742722/90754565
NewParcel 91239129 6.1208957470799055,0.05213897752821994 0.844195405026692,9.095291501709678 0 1 91239796/91258461=91496925/91515590
NewParcel 92068934 9.495129063401427,4.307740594564109 2.499782985881873,5.66019482554518 0 1 92075750/92082117=92318847/92325214
NewParcel 92889807 4.521563267684668,2.2024361501913625 6.935611289518196,7.123300423633997 0 1 92892071/92907542=93132536/93148007
NewParcel 93731751 4.676979597225163,0.7783646054698601 8.146768617355244,0.7996160732297419 0 1 93741709/93741792=94036435/94036518
NewParcel 94581109 0.534813097736484,8.09894345332059 7.771855695402257,7.402825608853796 0 1 94584942/94597275=94820407/94832740
NewParcel 95337633 2.633357634131621,7.012839010210375 6.076576732425964,2.315516458049758 0 1 95345426/95349839=95573346/95577759
NewParcel 96039147 8.92954052538222,9.465423931184674 1.9857929840527788,1.010407608267344 0 1 96040919/96057374=96289641/96306096
NewParcel 96740344 8.127332887301332,6.709281368481111 4.078099961328183,9.599142091034464 0 1 96748626/96752061=96959818/96963253
NewParcel 97476785 2.669853459697978,3.2653201485925 6.956991098636719,3.9852048285736954 0 1 97477145/97496424=97767753/97787032
NewParcel 98239696 7.684234311429248,4.986062101645549 9.91267222325509,3.597528215388379 0 1 98248978/98250413=98473793/98475228
NewParcel 99031695 4.668305678257546,4.072665545434998 7.288587182750192,8.18135022878224 0 1 99039669/99043720=99330232/99334283
NewParcel 99868105 1.2081658683470964,6.397245685450315 2.466717556884237,8.622884982146157 0 1 99871600/99884609=100152597/100165606
NewParcel 100633049 0.5156957999873579,8.982056603786987 9.885719864976876,5.284369397388945 0 1 100642556/100643541=100877198/100878183
NewParcel 101394051 7.0750847769296605,7.987095076738889 2.0059614817529168,9.82604851804892 0 1 101401170/101406931=101692485/101698246
NewParcel 102123391 7.187425650314429,0.05768962736503069 0.6355200882358591,8.991661723852822 0 1 102123400/102143381=102398734/102418715
NewParcel 102969009 5.70244396091854,2.383638852623303 4.531205114001034,1.3339924427647043 0 1 102976228/102981789=103207641/103213202
NewParcel 103662266 2.726424202589166,9.321458035521976 7.688668009005324,0.3570438448087243 0 1 103666795/103677736=103930442/103941383
NewParcel 104344413 6.595394298820807,5.93130039156152 5.23566136592918,0.05140274117945265 0 1 104347209/104361616=104600176/104614583
NewParcel 105038155 1.9026312098243903,1.2801130775046188 6.342509484416958,1.2993552905107142 0 1 105047327/105048982=105300783/105302438
NewParcel 105785206 3.869551071725162,6.862590213927625 6.063854048935812,0.12631487317143808 0 1 105789786/105800625=106082708/106093547
NewParcel 106515291 2.8490447735815048,7.991487594445454 0.5257362450404246,1.2751273000814378 0 1 106523660/106526921=106751776/106755037
NewParcel 107206558 5.250322895401992,8.508859470418058 2.3720789112580443,3.079813642409799 0 1 107215083/107218032=107445066/107448015
NewParcel 108041910 9.67433188142834,1.6697808174317497 5.884629529840456,2.1153139860036663 0 1 108045264/108058555=108344607/108357898
NewParcel 108860294 9.548803211193182,2.5501179310551336 3.6904286221728078,8.599795153624894 0 1 108868315/108872272=109106698/109110655
NewParcel 109646504 6.052000199335126,9.82990770342484 9.470864426591772,6.026084730266903 0 1 109653358/109659649=109881719/109888010
NewParcel 110297612 7.614222473046512,7.3039122279569515 3.586377753850667,0.9987921249492082 0 1 110307422/110307801=110596328/110596707
NewParcel 111048638 4.786132832642128,7.970907668129003 1.030877525455014,1.7536817609767774 0 1 111057628/111059647=111276937/111278956
NewParcel 111734638 1.7629658735720277,6.05326934376265 3.629932454728074,6.33586009663719 0 1 111743260/111746015=111990447/111993202
NewParcel 112510888 8.353685981093165,4.798419793861517 0.8967975131846784,3.913337023468549 0 1 112520276/112521499=112755200/112756423
NewParcel 113347392 8.68415102118494,0.4136988637079142 6.460342206694847,5.2025280379369265 0 1 113352904/113361879=113572171/113581146
NewParcel 114158473 5.423348966394333,4.986217583383906 9.478938037416782,0.48225438089501416 0 1 114158973/114177972=114443451/114462450
NewParcel 114822721 0.8217689210963297,3.739261963471977 2.954373144556227,6.172810148363965 0 1 114827640/114837801=115122062/115132223
NewParcel 115593132 8.350966259768933,4.476806463444067 3.359851872460796,3.4566521523997986 0 1 115600273/115605990=115834263/115839980
NewParcel 116291765 1.2333884836690534,9.567699309686459 8.49614480041467,4.917280417999241 0 1 116297187/116306342=116532435/116541590
NewParcel 117027818 6.651522031049224,3.321085304627963 2.9899497393571037,7.672869192625723 0 1 117035048/117040587=117323744/117329283
NewParcel 117772516 6.9254219524356655,0.10462390807636779 3.348528857361064,3.9812104683517315 0 1 117781737/117783294=118046764/118048321
NewParcel 118568766 1.447688634915335,1.0570697968524934 6.984679980403895,2.792534587064006 0 1 118577514/118580017=118875306/118877809
NewParcel 119248039 5.664953412446717,9.746774801413904 2.126110434015982,8.22676866212908 0 1 119253361/119262716=119555700/119565055
NewParcel 120071498 5.894935085473594,9.627676860935715 8.02327080178701,3.4517965674017925 0 1 120079400/120083595=120310837/120315032
NewParcel 120906899 1.268130304443632,8.64433467202312 7.369712868496512,0.939282046538128 0 1 120908329/120925468=121201288/121218427
NewParcel 121597330 6.583200660074917,8.837574045052092 5.349036201899848,2.5746175759079346 0 1 121600831/121613828=121880857/121893854
NewParcel 122272390 2.3651171252922776,1.3023079960741746 2.2224827980589277,5.597562247702412 0 1 122281952/122282827=122570953/122571828
NewParcel 123096942 0.9151286404842285,9.349089659241852 8.871243573696557,2.850129890921591 0 1 123099491/123114392=123325211/123340112
NewParcel 123747088 9.641611091159843,5.220964890567787 7.207540228283048,8.308291367388959 0 1 123747447/123766728=123972794/123992075
NewParcel 124547572 5.460864885266704,8.217185361607989 9.868543204595944,1.3740529310307281 0 1 124549612/124565531=124785869/124801788
NewParcel 125299323 6.5569205829988615,4.575343723969937 6.107189344967293,5.904472575910102 0 1 125300444/125318201=125543768/125561525
NewParcel 125970399 0.28941639051344836,1.9634933568692814 3.2939616855928513,2.454176484771474 0 1 125972366/125988431=126203379/126219444
NewParcel 126818116 8.538607491925479,3.933818525467092 5.943692825449291,4.707941601404254 0 1 126820663/126835568=127032321/127047226
NewParcel 127554676 4.276574681783989,2.189412470322255 6.6814564728621715,3.5799017447154546 0 1 127559223/127570128=127828558/127839463
NewParcel 128263149 5.653689217661024,7.015729181185204 6.06160763769525,4.955942468256886 0 1 128272331/128273966=128567020/128568655
NewParcel 128915178 6.38940023746949,8.728270771310125 0.6540345075819709,9.555848416089596 0 1 128919827/128930528=129130971/129141672
NewParcel 129736330 3.7564059079723497,5.488072405715718 1.311685083872941,5.891763237830779 0 1 129744914/129747745=129962766/129965597
NewParcel 130509523 7.94727010424504,5.336547370123918 6.033431094179563,9.799523951120662 0 1 130515964/130523081=130815760/130822877
NewParcel 131201512 9.112548692279958,2.8012559476401764 4.336330841577326,6.5194371904293735 0 1 131205706/131217317=131486132/131497743
NewParcel 132041931 0.8594871399891302,2.924158529236369 2.551353581854743,3.803053195471 0 1 132043170/132060691=132260385/132277906
NewParcel 132778933 1.5003507720791054,8.063916848617298 1.9566298455862385,7.022504456604236 0 1 132785856/132792009=133051400/133057553
NewParcel 133479986 6.839453044838636,5.323805928200263 4.162286198595666,9.758971650515138 0 1 133481559/133498412=133742842/133759695
NewParcel 134140937 0.7879409956448391,4.95679891315514 0.6609323593616168,5.846835960451774 0 1 134141381/134160492=134438857/134457968
NewParcel 134910958 2.595403168722598,2.5993870077053662 5.957857602309299,1.3500831710211136 0 1 134917423/134924492=135212932/135220001
NewParcel 135735543 1.9873601405383723,0.6856964671199051 6.195003247953043,7.44752183556758 0 1 135740744/135750341=136036910/136046507
NewParcel 136464252 5.997703169880574,6.893468212357833 7.682771372583868,7.703376808324306 0 1 136467165/136481338=136688113/136702286
NewParcel 137164412 3.7851393823741777,9.973457624953056 2.253732887681684,5.699820811885527 0 1 137170536/137178287=137449586/137457337
NewParcel 137926545 8.222709983057168,5.813821504711142 8.85229832549621,1.5080082379175985 0 1 137935134/137937955=138155534/138158355
NewParcel 138641793 5.549441471388427,9.091051610450904 3.2744115752497605,7.97417139296547 0 1 138650852/138652733=138910977/138912858
NewParcel 139476173 6.873193297576633,8.359020499764027 0.4713320670743404,0.2973433127662872 0 1 139476922/139495423=139701786/139720287
NewParcel 140260995 7.813764393291356,4.927697523403448 6.331565275607183,4.875268474514063 0 1 140261897/140280092=140558189/140576384
NewParcel 140963333 5.075321047070435,8.383102999953767 8.355006220793307,5.895064561911595 0 1 140969682/140976983=141221946/141229247
NewParcel 141794956 1.237207588909378,4.100057308807305 7.133355614301786,0.6451986241103336 0 1 141803412/141806499=142034375/142037462
NewParcel 142562657 1.552205558096491,0.5992932996281153 3.050875191749495,7.025338175671187 0 1 142571035/142574278=142839473/142842716
NewParcel 143357465 9.041299913053061,7.100489277868225 5.119540314517059,9.230641100187581 0 1 143358452/143376477=143643385/143661410
NewParcel 144024726 6.674015647562324,4.122788207803561 1.362656157833383,0.0870464693257067 0 1 144028126/144041325=144248517/144261716
NewParcel 144851608 7.923391493279356,2.4843653845428557 2.6609974315586293,1.0141293203593982 0 1 144853102/144870113=145097620/145114631
NewParcel 145553083 9.48464654781927,8.552604628541555 4.475534746592348,3.0920803863674817 0 1 145558385/145567780=145850203/145859598
NewParcel 146331992 2.446607476891296,6.096450245962987 3.360811969179205,5.2093758338278215 0 1 146333689/146350294=146630647/146647252
NewParcel 147133315 0.7049562275954457,7.592491008622718 7.683032833161603,7.767696288142333 0 1 147133576/147153053=147364466/147383943
NewParcel 147807316 7.906362995622947,0.3363442164222663 4.456924654224538,2.9206599783097884 0 1 147813044/147821587=148076130/148084673
NewParcel 148540749 6.712562669843597,5.210899448769305 6.715437788711007,4.822933230088409 0 1 148548665/148552832=148848970/148853137
NewParcel 149209846 6.673443147805674,8.462985523036387 8.326343689164299,5.866276805871546 0 1 149217379/149222312=149494642/149499575
NewParcel 150053349 9.498202926067751,9.340022278212107 5.669796383157406,7.379095269426177 0 1 150057104/150069593=150356710/150369199
NewParcel 150858362 3.013643304149972,8.93821973322121 8.090917619862669,5.766049587351034 0 1 150865353/150871370=151129930/151135947
NewParcel 151696352 7.598656554831838,8.113889590828869 1.5414692443231715,7.5642939614222175 0 1 151704060/151708643=151913823/151918406
NewParcel 152541133 1.3839729408925139,4.809427389774679 2.3246734164080465,9.392904479757897 0 1 152550872/152551393=152816185/152816706
NewParcel 153245226 3.0062294956425784,3.645530648580637 0.35724833223254593,1.2720546950112765 0 1 153249182/153261269=153459206/153471293
NewParcel 153945493 3.2054215846981027,3.1312164445792567 3.8627138810431214,4.288508027203406 0 1 153951203/153959782=154207882/154216461
NewParcel 154613498 9.054802178002749,8.343196097508054 9.910038099098033,6.08398485611985 0 1 154620445/154626550=154837472/154843577
NewParcel 155360563 7.112287986903606,9.426176585198489 7.711679971130825,0.14296697381962042 0 1 155361942/155379183=155583748/155600989
NewParcel 156052021 4.282438810896774,8.765644051025582 4.095096833223968,7.356505383313202 0 1 156060648/156063393=156356831/156359576
NewParcel 156779706 7.678070068412292,2.184696720966326 3.0617742373600123,0.838589420092346 0 1 156780430/156798981=156996444/157014995
NewParcel 157586245 7.270560460411848,2.0164881778685393 3.8478431787162526,7.471643406085844 0 1 157588123/157604366=157883440/157899683
NewParcel 158329251 7.617920329104331,2.4038433188892916 4.400347686870887,2.157710675369123 0 1 158339148/158339353=158619481/158619686
