NewDepot -1 5.0,5.0 5
NewVehicle -1 6.04271871026016,1.5722879677521484 1 10
NewVehicle -1 1.3246595511311765,4.463403154294353 1 10
NewVehicle -1 6.7149257774493964,6.498137247008257 1 10
NewVehicle -1 4.8971522766211315,1.2719868595855965 1 10
NewVehicle -1 5.363047427416818,3.5939803574152007 1 10
NewParcel 39173783 7.859147771028519,2.872840764803347 4.357408664626058,6.534808716401307 0 1 39180288/39187277=39438400/39445389
NewParcel 41035453 1.2302049560956885,6.572804051225045 0.9616328652033823,7.725138059368256 0 1 41036867/41054038=41298000/41315171
NewParcel 42834626 4.137119125687468,7.808587001988435 1.3367546048186885,1.5145822493449235 0 1 42835908/42853343=43107778/43125213
NewParcel 44659965 2.1474401431364667,2.7669396093851804 0.7060085251292636,6.41233145115736 0 1 44668538/44671391=44922091/44924944
NewParcel 46511460 8.646116133259495,3.190592874545539 0.6693626410247311,2.1094076606319865 0 1 46515315/46527604=46727423/46739712
NewParcel 48422448 1.13391368631241,1.6623490088086978 1.303480160458349,5.878020668186965 0 1 48429649/48435246=48668625/48674222
NewParcel 50204576 7.914626859890369,3.025035423469913 5.339929920086054,7.499363488895843 0 1 50207456/50221695=50444357/50458596
NewParcel 52078850 9.116398655226421,6.195135665068953 1.4919539232950318,5.10266690750629 0 1 52085699/52092000=52316379/52322680
NewParcel 54028569 8.492456031829313,3.1279101926140243 6.5001089981184,6.798316730895593 0 1 54032587/54044550=54322382/54334345
NewParcel 55932615 4.946580125256733,4.191817993237262 7.967092477228057,5.487855408102494 0 1 55942412/55942817=56157310/56157715
NewParcel 57810203 5.228618468911872,1.7100534972979364 2.552063627590082,6.733672131957672 0 1 57818102/57822303=58083206/58087407
NewParcel 59630871 1.7453544026544465,5.927008671842362 6.5947778100263035,2.0712003257376455 0 1 59634788/59646953=59862817/59874982
NewParcel 61516132 1.9320450139682266,0.1574766160817609 8.739838614261291,2.6464323658114433 0 1 61517766/61534497=61777307/61794038
NewParcel 63381879 8.129940931831028,4.376404675151982 6.631388451471296,0.5615620245487452 0 1 63388471/63395286=63633649/63640464
NewParcel 65343275 9.415099840569898,9.007013321310497 2.248542626396932,7.811572158556871 0 1 65352161/65354388=65612328/65614555
NewParcel 67126538 9.323806512306774,3.165090979502918 2.9518865514723047,5.194575965846927 0 1 67131225/67141850=67361252/67371877
NewParcel 68904659 5.919911746818023,4.117279034797746 7.811342093607831,6.078724494119107 0 1 68908151/68921166=69126829/69139844
NewParcel 70796774 3.149402346860856,7.211156528069317 1.2857198103530176,2.408496546877097 0 1 70802348/70811199=71098380/71107231
NewParcel 72743552 4.927516380435178,8.034942428212133 8.82426865401192,2.8331783796493415 0 1 72745197/72761906=73007210/73023919
NewParcel 74593616 5.903713101319089,1.0646213364820867 1.4605338654672362,5.3403504506142045 0 1 74597829/74609402=74826776/74838349
NewParcel 76408688 5.349812747922002,1.556310585753543 8.968838734105086,9.277190331540332 0 1 76416312/76421063=76705608/76710359
NewParcel 78217775 3.1166184975200806,9.941678241072294 3.653698784928091,4.142405094531549 0 1 78219065/78236484=78439739/78457158
NewParcel 80123403 9.104330655017353,0.484225568450799 9.342485633870693,5.031608166446233 0 1 80131487/80135318=80436588/80440419
NewParcel 81985537 0.1920684080352042,8.454245936977305 2.6516473587707945,7.118947782498617 0 1 81992941/81998132=82257392/82262583
NewParcel 83881491 1.071811239130399,2.5802737956910917 6.096804191633617,4.057806426754534 0 1 83891387/83891594=84130435/84130642
NewParcel 85762788 7.9320692919740585,2.0348344236967253 5.117026007112785,7.683377273441946 0 1 85771104/85774471=86032461/86035828
NewParcel 87602592 6.436600668250395,9.712308467498577 3.5836084011878,8.899935303155223 0 1 87609141/87616042=87910869/87917770
NewParcel 89449971 7.943482940450871,6.056723379638823 4.863657932782242,2.135610672495476 0 1 89456216/89463725=89744364/89751873
NewParcel 91379932 0.4098548456658324,0.1972836119518251 8.008799820528953,8.24748208573169 0 1 91388030/91391833=91614980/91618783
NewParcel 93350804 2.927638947322163,7.6494527951051445 1.1393191889672227,3.2597984175772012 0 1 93353029/93368578=93629457/93645006
NewParcel 95253215 5.3355583242425695,6.339400875327233 6.594050721000127,2.818143578951482 0 1 95262887/95263542=95513214/95513869
NewParcel 97157555 6.852759191562139,5.209626534265597 4.916326991333175,4.74235548252496 0 1 97162067/97173042=97415206/97426181
NewParcel 98939487 0.1793540774997049,2.163570023543838 7.246298773100509,4.561013280352971 0 1 98943025/98955948=99217204/99230127
NewParcel 100885701 0.009193958746775976,0.6070277085368925 8.189940647137838,1.4103032088559386 0 1 100893750/100897651=101186131/101190032
NewParcel 102754791 7.400187033209615,6.344179802148303 3.735053343463214,4.180078927085413 0 1 102764502/102765079=103033273/103033850
NewParcel 104690771 3.947471713303361,9.086046531916638 1.2845750268377354,0.2899240758298538 0 1 104700758/104700783=104929327/104929352
NewParcel 106559407 2.204759953911839,5.329182507601317 1.3775160107053241,1.9780345081217154 0 1 106559540/106579273=106819418/106839151
NewParcel 108500200 1.2991611059151786,1.8624223719065691 3.1678263546688568,7.485728887275189 0 1 108506452/108513947=108787356/108794851
NewParcel 110359512 9.184800397742118,1.6594918973363892 8.231511947388874,7.020403091359416 0 1 110360903/110378120=110613576/110630793
NewParcel 112192986 5.480544396517475,6.415295451170785 9.772310094684078,5.879737194742325 0 1 112197165/112208806=112436347/112447988
NewParcel 113998051 1.337142857395911,2.4836918308878397 6.796235222830843,9.619973073313094 0 1 113999053/114017048=114241006/114259001
NewParcel 115859987 5.2791053476227345,9.47457319181799 5.32531249686928,8.651068647303616 0 1 115866179/115873794=116127109/116134724
NewParcel 117767651 6.466620042256109,3.268057951767939 1.2208054190589412,2.141546733811114 0 1 117769896/117785405=118028580/118044089
NewParcel 119677648 9.322828235214025,7.703609041639349 1.68625453673943,3.6158480247151967 0 1 119687187/119688108=119917054/119917975
NewParcel 121578371 5.971769934701667,1.7018933786687163 5.020637571569948,3.1270013192141155 0 1 121580926/121595815=121883804/121898693
NewParcel 123527986 5.432308945781866,1.0771920686684444 0.6919657897230647,3.387423581411515 0 1 123535076/123540895=123760768/123766587
NewParcel 125313121 1.0133531816733443,6.798174606192298 4.301624168291912,9.740662430637858 0 1 125313581/125332660=125526378/125545457
NewParcel 127097637 9.85568032017299,3.9548509748478002 4.509774871351876,6.356894901536471 0 1 127101812/127113461=127357020/127368669
NewParcel 129003547 1.0656838762345555,8.189511414905894 1.492129728290833,3.534990536744248 0 1 129009634/129017459=129230124/129237949
NewParcel 130788785 1.3863485405013742,8.849469474063946 8.998409216192236,3.4939571940511236 0 1 130795280/130802289=131090046/131097055
NewParcel 132659198 9.850772164505452,0.6194184810414571 4.58279788571605,4.536578301420594 0 1 132659410/132678985=132903057/132922632
NewParcel 134574774 5.363541826720207,7.891214897196175 5.076709038396052,5.968054651843183 0 1 134578844/134590703=134872885/134884744
NewParcel 136382792 3.6552802425921325,8.628900548485138 6.874171500524946,8.652463122189626 0 1 136389661/136395922=136653457/136659718
NewParcel 138333226 2.5556733054999436,6.986778161533815 3.1001522701212725,8.589847866727265 0 1 138339480/138346971=138630612/138638103
NewParcel 140204391 7.030290774935503,6.438348853376583 2.2321239333418417,3.3967500364728984 0 1 140208906/140219875=140449718/140460687
NewParcel 141989479 7.926514847662829,7.673928010288499 5.2451942776181815,4.072995076818509 0 1 141992279/142006678=142281278/142295677
NewParcel 143867295 0.8738866164927228,8.024750365939969 0.8511048372123398,6.937547156375939 0 1 143868037/143886552=144081806/144100321
NewParcel 145803141 4.284183885830599,1.6713758714168814 0.9014173630924605,3.1162422543905643 0 1 145809118/145817163=146052334/146060379
NewParcel 147598473 7.8965441484311825,2.3942105200990618 0.5251954743641218,5.464214898593869 0 1 147604030/147612915=147842140/147851025
NewParcel 149530597 5.812942541733141,3.123954241480286 0.07149549126884924,5.305829410292708 0 1 149539346/149541847=149750410/149752911
NewParcel 151496337 0.4693395567828018,9.049787270207881 8.426980934048977,3.87492744481553 0 1 151504541/151508132=151713692/151717283
NewParcel 153396256 6.487809733730353,3.5431082220122145 9.778969397778035,5.838207526990681 0 1 153400257/153412254=153612201/153624198
NewParcel 155368674 5.8549657443786245,8.65463774149573 8.39422934219389,4.784544868004243 0 1 155371220/155386127=155593128/155608035
NewParcel 157205373 8.371985743006576,4.442697451678931 8.48383438904674,3.0630681318879738 0 1 157215199/157215546=157464319/157464666
NewParcel 159053554 3.8215636758598457,3.8904784428020123 8.724389164226267,0.8528007674325389 0 1 159059560/159067547=159276815/159284802
NewParcel 160931242 4.79708797183886,2.6701126810640274 3.505942398312948,1.8466857344450027 0 1 160937104/160945379=161179898/161188173
NewParcel 162856017 1.6393655480620406,5.51135658290928 5.476894393777862,5.432799526512214 0 1 162863067/162868966=163127480/163133379
NewParcel 164709582 3.4262016937352255,3.4327037863273446 6.456215243028204,7.7555729035787415 0 1 164715267/164723896=164939768/164948397
NewParcel 166533358 1.4601495622551908,8.592734800154464 6.2832853013654635,6.539827887285491 0 1 166539600/166547115=166769361/166776876
NewParcel 168372926 4.199740654542248,6.019520637348537 1.6756694561760377,7.060446569732511 0 1 168373185/168392666=168616030/168635511
NewParcel 170261822 5.079508756931094,3.975888485754461 9.6651397511593,9.140478829920509 0 1 170267659/170275984=170549640/170557965
NewParcel 172057820 7.164122069376178,7.218366000791435 2.6822557462445387,7.5605090533887855 0 1 172065256/172070383=172295801/172300928
NewParcel 174017515 1.0819314424465731,9.907614285235718 4.85981858761206,0.7620867886356752 0 1 174020457/174034572=174303981/174318096
NewParcel 175817657 5.183253258662747,7.4281615956762845 1.6255089880337736,5.228039573194105 0 1 175820176/175835137=176103005/176117966
NewParcel 177604359 9.368693759063111,8.875252981717512 7.154022335233713,5.4224769607676855 0 1 177605580/177623137=177823992/177841549
NewParcel 179573946 6.532831040872762,4.466625885849548 6.749012842117352,1.6732992884341125 0 1 179578813/179589078=179875953/179886218
NewParcel 181361879 8.06856577399324,4.637023855322465 3.725161074157266,0.8800256542452012 0 1 181368042/181375715=181574408/181582081
NewParcel 183138832 2.3774532114012246,0.07326517397319599 2.860674160080773,7.4297487582716295 0 1 183144400/183153263=183368580/183377443
NewParcel 184985664 7.8313295528317495,4.447671338278169 4.99053592687355,4.204034728206182 0 1 184994563/184996764=185247819/185250020
NewParcel 186841688 4.130543523200308,4.107677028458022 9.81081261446037,6.0595768491723145 0 1 186842846/186860529=187123125/187140808
