NewDepot -1 5.0,5.0 5
NewVehicle -1 5.515502826389573,2.7423850492559088 1 10
NewVehicle -1 3.4124247816873954,2.684758847011529 1 10
NewVehicle -1 3.995704560701708,6.480618680138948 1 10
NewVehicle -1 7.545328312888792,5.755157342207192 1 10
NewVehicle -1 0.5096923637345641,5.774560182354419 1 10
NewParcel 41786213 6.731305285500918,1.9457065834758358 6.7804744573124776,5.183269334765457 0 1 41789652/41802773=42038162/42051283
NewParcel 42595543 6.421944163677398,3.542306210224695 2.1658055320255265,1.5073466415157988 0 1 42600977/42610108=42811075/42820206
NewParcel 43386647 2.994826221552851,9.997219230198596 2.258762739675878,4.750682074331891 0 1 43390052/43403241=43663296/43676485
NewParcel 44156091 1.8997325056427816,4.679086025455174 0.7116353032243117,9.450455055872629 0 1 44159669/44172512=44434306/44447149
NewParcel 44947103 6.095996570728737,2.3511647037161243 3.7704000384361027,5.759656835966004 0 1 44955596/44958609=45177311/45180324
NewParcel 45614312 0.49999297282290134,1.7289426896278626 6.309277681500665,1.5373247765770226 0 1 45623776/45624847=45921202/45922273
NewParcel 46348845 0.6861664281371826,3.7219519037292814 6.269217935604653,0.9139969107538959 0 1 46350455/46367234=46580041/46596820
NewParcel 47184317 5.880662711386993,9.461351326575361 8.164379497255512,9.058949129451262 0 1 47190435/47198198=47428176/47435939
NewParcel 47923753 8.786625682268356,4.714837951497649 8.8206648038944,5.375775897266002 0 1 47925632/47941873=48221040/48237281
NewParcel 48597031 7.280220693874687,9.790449997956229 1.0103727088574466,9.852879160664399 0 1 48603170/48610891=48873770/48881491
NewParcel 49277956 5.5164491444208705,6.530823612481566 3.1470326250203486,9.79542687127685 0 1 49279291/49296620=49511810/49529139
NewParcel 50059617 4.483813904500367,6.499466854655046 5.704481629551754,6.6653434781588885 0 1 50062355/50076878=50299659/50314182
NewParcel 50806193 4.54690239289973,6.960611524574389 7.524246804511737,5.255895525228254 0 1 50815266/50817119=51045994/51047847
NewParcel 51568924 5.015944425493059,3.7542083428862294 7.675295423307865,9.927433888212928 0 1 51574675/51583172=51805417/51813914
NewParcel 52273481 8.2824121317814,2.6676247732333778 1.0302175674251945,5.130856159848866 0 1 52281347/52285614=52559089/52563356
NewParcel 53055507 8.559720777233167,3.405610178635188 8.221899834634952,9.945351239203026 0 1 53063114/53067899=53328577/53333362
NewParcel 53840631 7.768096519391881,2.7600905073749695 3.1447555426621143,8.856988665284915 0 1 53848864/53852397=54139244/54142777
NewParcel 54634786 3.602670010413135,6.081352208023871 3.6645735912895128,3.5047146763164583 0 1 54639042/54650529=54921557/54933044
NewParcel 55310194 7.323861054433184,8.65218420019191 3.701047736094191,2.6203192484569673 0 1 55315176/55325211=55620713/55630748
NewParcel 56041917 1.3091146480413884,1.0665330557814023 7.347047468218172,9.88893333863815 0 1 56047979/56055854=56287023/56294898
NewParcel 56769393 8.905053686764742,5.214238354688331 8.18869769229318,1.9566231930091893 0 1 56770592/56788193=57051513/57069114
NewParcel 57526924 1.619108591330869,9.97341044777846 9.490323405032493,1.3116399770713283 0 1 57530578/57543269=57763242/57775933
NewParcel 58206596 1.1896853368216398,8.21201110907862 3.4083276841965415,1.2658900243800886 0 1 58211307/58221884=58466863/58477440
NewParcel 58886658 6.573939216535356,9.200201619689958 9.898059711986088,2.7631879087022515 0 1 58890397/58902918=59100989/59113510
NewParcel 59677905 8.392210831780648,3.0350195849274497 8.477742409168302,5.240852197581893 0 1 59679907/59695902=59899950/59915945
NewParcel 60510152 5.868190521832949,6.17894731355891 8.513515137390845,6.271210339033568 0 1 60520026/60520277=60733571/60733822
NewParcel 61200412 3.8038734622237413,9.713934625269738 6.1896575442164234,7.209573656904009 0 1 61205002/61215821=61451604/61462423
NewParcel 61913923 9.628366951727683,4.412437946651168 8.828058129465772,4.575241679557239 0 1 61917125/61930720=62221533/62235128
NewParcel 62748695 3.0596118927003744,9.22703848733242 9.7209874234196,9.392104600534122 0 1 62751566/62765823=62980426/62994683
NewParcel 63443797 3.41808318888152,2.3002026231532713 9.141238088868814,9.215401233196078 0 1 63451947/63455646=63683611/63687310
NewParcel 64131108 2.1315287556362925,6.095744968317414 9.693698617591844,0.07119596809177398 0 1 64133523/64148692=64414944/64430113
NewParcel 64819811 0.46981313334833463,0.7535601691495686 6.6724174943245576,8.035140365200984 0 1 64827889/64831732=65105477/65109320
NewParcel 65522433 5.048923238268827,2.2691815917167544 6.587223977261,2.677077003835726 0 1 65530167/65534698=65779360/65783891
NewParcel 66200752 6.143204551215059,4.599733010442452 9.523967956085823,7.098051594881957 0 1 66206656/66214847=66447867/66456058
NewParcel 67029451 6.3448850549055,7.297834375700523 3.502439150617991,1.7862955230160416 0 1 67037952/67040949=67314433/67317430
NewParcel 67844901 9.609952910644832,2.7750233716750685 1.4960296756885816,2.0187395336670786 0 1 67849582/67860219=68055632/68066269
NewParcel 68666002 3.2294500280233276,9.796256301164666 4.2772029920470604,1.0346219989580063 0 1 68669234/68682769=68955086/68968621
NewParcel 69443548 7.765240589304065,2.3070518712623356 4.752830810227245,3.707755532134601 0 1 69446678/69460417=69689274/69703013
NewParcel 70114090 2.489321823063003,5.194836722723894 1.9534592535338335,7.944013075035317 0 1 70119525/70128654=70336283/70345412
NewParcel 70803831 6.365736312272804,1.086059629717313 5.3405711369929065,3.5305944713962436 0 1 70804980/70822681=71100557/71118258
NewParcel 71647596 7.11415082171544,4.780633734306395 2.5959009745615056,0.6636408345260514 0 1 71654810/71660381=71928738/71934309
NewParcel 72357464 3.3941595143041816,4.42527068762331 6.556868900887461,2.880753028279408 0 1 72357733/72377194=72563714/72583175
NewParcel 73195170 7.649380639019303,1.0272692658329863 9.462197495989344,1.6249823894275905 0 1 73200505/73209834=73436030/73445359
NewParcel 73971929 9.650404038497483,0.41031942711747593 5.171767640863916,2.166852022011563 0 1 73976003/73987854=74193851/74205702
NewParcel 74718852 3.275653716101842,4.213887134498073 2.5247844704425306,3.110973140991743 0 1 74723606/74734097=74994677/75005168
