NewDepot -1 5.0,5.0 4
NewVehicle -1 4.4921734005736464,7.567403670466271 1 100 1
NewVehicle -1 0.595620654000667,3.1222098580525524 1 100 1
NewVehicle -1 3.1654591232311913,2.730544123907027 1 100 1
NewVehicle -1 4.737940548541158,7.227177081116849 1 100 1
NewParcel 4130063 6.069518272675552,9.061065944720761 4.834290826169152,7.703985455631682 1000 1 4137533/4142592=4153041/4158100
NewParcel 4186290 9.627439881298356,8.584777954673475 8.589705055066423,0.9612275697927464 1000 1 4194181/4198398=4216892/4221109
NewParcel 4240939 2.6376237703513796,6.67483567129773 8.063419012414313,8.38024094203745 1000 1 4241493/4260384=4261858/4280749
NewParcel 4288423 9.255015454555016,9.908910866296015 3.2344915715011546,2.409823382493257 1000 1 4296200/4300645=4315185/4319630
NewParcel 4330251 8.888271712565198,6.941713086771632 7.82373981796492,3.2213929909665895 1000 1 4335984/4344517=4359288/4367821
NewParcel 4374580 7.220048209431203,7.573753878630713 7.554169923445703,2.758374491190022 1000 1 4381602/4387557=4405494/4411449
NewParcel 4421772 7.413446152063426,7.929122843643964 8.919831636058657,3.732486210706052 1000 1 4422318/4441225=4444576/4463483
NewParcel 4479636 8.731176718078302,0.531332338040883 1.3146574097948505,2.980987466552818 1000 1 4488299/4490972=4506217/4508890
NewParcel 4533374 2.2940097842442917,0.5662973435170504 7.872850212442693,1.0989527106810193 1000 1 4542431/4544316=4560830/4562715
NewParcel 4581559 6.205065471378687,2.1215111183233737 2.872380810619971,2.7606297365758237 1000 1 4587875/4595242=4603539/4610906
NewParcel 4640820 4.766513765320443,0.6904799555681895 6.053158795026574,4.643949716623309 1000 1 4646473/4655166=4671404/4680097
NewParcel 4698227 9.015244381613297,0.7314787739882311 6.7014382190137765,0.372247191259123 1000 1 4706967/4709486=4731320/4733839
NewParcel 4751700 8.304067588670199,9.569690793813537 2.852020697969808,4.3872568108633985 1000 1 4760826/4762573=4777386/4779133
NewParcel 4805096 5.155011807837823,1.4317942895810065 3.4598204934020838,9.167444429898977 1000 1 4807273/4822918=4822777/4838422
NewParcel 4855943 8.111275352370921,7.902055872725596 3.8923515234894035,2.7057394287628056 1000 1 4857966/4873919=4882589/4898542
NewParcel 4910147 9.814400880450073,3.588998138681232 7.594698663316105,5.660727725492666 1000 1 4915606/4924687=4940372/4949453
NewParcel 4959291 0.03323029678167444,8.291698076582383 9.278538715485324,0.09537063916560173 1000 1 4959556/4979025=4982438/5001907
